id,order_no,product_name,unit,quantity,unit_price,total_price,remark
242,"20231111001","伙食米","瓶",10,5.6,56,""
243,"20231111001","鱼浪酒米","瓶",10,2.5,25,""
244,"20231111001","西部风老坛
甜薯玉米","包",10,8,80,""
245,"20231111001","蚯蚓","盒",10,2,20,""
246,"20231111001","名捕","瓶",10,6,60,""
247,"20231111001","名捕","瓶",10,2.8,28,""
248,"20231113003","1+1草鱼颗粒","瓶",10,4,40,""
249,"20231113003","全能兄弟","包",10,7,70,""
250,"20231113003","全能香","包",10,8,80,""
251,"20231113003","全能腥","包",10,8,80,""
252,"20231113003","野战蓝鲫","包",10,6.5,65,""
253,"20231113003","今晚吃鱼","包",10,7,70,""
254,"20231113003","不空军","包",10,6,60,""
255,"20231113003","牛P红虫颗粒","包",10,7.5,75,""
256,"20231113003","鱼浪红大米","瓶",10,2.4,24,""
257,"20231113003","冠军杯纳米
漂","支",6,20,120,""
258,"20231113003","巨烽伊豆双
钩","板",20,5.8,116,""
259,"20231113003","天网生鲜玉
米","包",10,6.2,62,""
260,"20231113003","快速针别","包",20,0.7,14,""
261,"20231113003","硅胶座浮漂","包",20,1.2,24,""
262,"20231213001","牛P红虫颗粒","件",1,210,210,""
263,"20231213001","全能腥","包",10,8,80,""
264,"20231213001","全能香","包",10,8,80,""
265,"20231213001","蓝鲫X5","包",10,8,80,""
266,"20231213001","名捕","瓶",10,6,60,""
267,"20231213001","天元复合拉
丝粉","瓶",5,10.8,54,""
268,"20231230002","PE线","盘",30,18,540,""
269,"20231230002","七星漂","包",50,0.5,25,""
270,"20231230002","抄网头","个",10,11,110,""
271,"20231230001","打渔郎下水
裤","条",9,58,522,""
272,"20231230001","木抄网","个",5,13,65,""
273,"20231230001","网子","条",20,8.5,170,""
274,"20231230001","铁耙抄网","个",2,28,56,""
275,"20231230001","血防鞋","双",2,28,56,""
276,"20240325006","黑猫白猫","包",10,6.3,63,""
277,"20240325006","地狱猫","包",10,6.9,69,""
278,"20240325006","九一八香经
典","包",5,7.8,39,""
279,"20240325006","钢弹2号","包",5,6.7,33.5,""
280,"20241120002","大号木抄网","个",20,13,260,""
281,"20241120002","中号木抄网","个",5,9,45,""
282,"20241120002","乙烯线","坨",10,10,100,""
283,"20241120002","铁耙网","个",5,18,90,""
284,"20241120002","粗线网子","个",10,6.5,65,""
285,"20241120002","三层网2m","条",3,100,300,""
286,"20241120002","三层网1.5m","条",3,90,270,""
287,"20240115001","蚯蚓","盒",30,2,60,""
288,"20240115001","拉饵盘","个",2,10,20,""
289,"20240115001","军工椅","把",2,25,50,""
290,"20240115001","拉丝粉名捕","瓶",5,6,30,""
291,"20240115001","牛P红虫颗粒","包",5,7.5,37.5,""
292,"20240115001","谷子大师","包",5,9.5,47.5,""
293,"20240115001","黑坑线组","付",50,5,250,""
294,"20240115001","黑坑线组","付",20,5,100,""
295,"20240115001","黑坑线组","付",20,5,100,""
296,"20240115001","鱼竿3.6m","支",5,10,50,""
297,"20240115001","4.5m","支",5,14,70,""
298,"20240115001","鱼浪酒米","瓶",10,2.4,24,""
299,"20240115001","西部风老坛
维它米","瓶",5,6.2,31,""
300,"20240115001","西北风维它
米","瓶",5,9.5,47.5,""
301,"20240115001","天网伙食米","瓶",5,6.8,34,""
302,"20240115001","天网伙食米","瓶",5,5.6,28,""
303,"20240115001","全能腥","包",5,8,40,""
304,"20240115001","地狱猫腥","包",5,6.9,34.5,""
305,"20240115001","龙王恨拉丝
粉","瓶",5,6.5,32.5,""
306,"20240202002","今晚吃鱼","包",3,7,21,""
307,"20240202002","天元鲫","包",5,6,30,""
308,"20240202002","全能香","件",6,8,48,""
309,"20240202002","蚯蚓","盒",40,2,80,""
310,"20240202002","纳米漂","支",15,2,30,""
311,"20240216002","地狱猫","包",10,6.9,69,""
312,"20240216002","浮低抽心","包",6,37,222,""
313,"20240216002","锐鹰子线钩","包",7,2.7,18.9,""
314,"20240216002","串钩坨","个",20,0.3,6,""
315,"20240216002","串钩坨","个",20,0.5,10,""
316,"20240216002","串钩坨","个",20,0.65,13,""
317,"20240216002","牛P红虫颗粒","包",6,7.5,45,""
318,"20240216002","蚯蚓","盒",40,2,80,""
319,"20240216002","黑坑线组","付",3,5,15,""
320,"20240224001","串钩","付",25,2.5,62.5,""
321,"20240224001","地狱猫","包",20,6.9,138,""
322,"20240224001","锐鹰子线钩","包",22,2.7,59.4,""
323,"20240224001","纵横四方6号","包",1,21,21,""
324,"20240224001","纵横四方2号","包",2,17,34,""
325,"20240224001","西北风维它
米","瓶",5,9.5,47.5,""
326,"20240224001","钢蛋2号","包",5,6.5,32.5,""
327,"20240224001","钢蛋3号","包",5,4.7,23.5,""
328,"20240224001","铁网头","个",3,4.5,13.5,""
329,"20240224001","斩妖","支",2,85,170,""
330,"20240224001","黑坑线组","付",45,5,225,""
331,"20240224001","蓝鲫X5","包",5,8.3,41.5,""
332,"20240224001","野战蓝鲫","包",5,6.2,31,""
333,"20240224001","调位双钩","包",12,2.5,30,""
334,"20240224001","狼牙手绑钩","板",24,11.5,276,""
335,"20240224001","来得快","包",3,6.5,19.5,""
336,"20240224001","全能兄弟","包",3,7,21,""
337,"20240224001","拉丝粉","瓶",5,2.8,14,""
338,"20240224001","巨烽双钩","板",20,5.8,116,""
339,"20240311004","蚯蚓","盒",40,2,80,""
340,"20240311004","浮低抽心","包",5,37,185,""
341,"20240311004","巨烽袖有刺","板",4,5.8,23.2,""
342,"20240311004","巨烽袖有刺","板",2,5.8,11.6,""
343,"20240322005","万能神捕","包",10,2.5,25,""
344,"20240322005","全能药包","包",10,2.5,25,""
345,"20240322005","鱼护","个",3,9,27,""
346,"20240322005","竞技鱼护","个",2,24,48,""
347,"20240322005","军工椅","把",2,25,50,""
348,"20240322005","军工凳","把",1,14,14,""
349,"20240322005","鱼护包","个",1,22,22,""
350,"20240322005","靠背椅","个",1,18,18,""
351,"20240322005","变色电子漂","套",10,8.5,85,""
352,"20240322005","电池","个",30,0.9,27,""
353,"20240322005","西北风维它
米","瓶",5,9,45,""
354,"20240322005","斩妖","支",1,95,95,""
355,"20240322005","特价杆","支",4,38,152,""
356,"20240322005","名轮轻  风
神","支",2,45,90,""
357,"20240322005","名轮轻  风
神","支",2,55,110,""
358,"20240322005","名轮轻  风
神","支",2,65,130,""
359,"20240322005","多用漂盒","个",1,20,20,""
360,"20240322005","多用漂盒","个",1,16,16,""
361,"20240322006","浅水漂","支",30,1.4,42,""
362,"20240322006","旋风纳米漂","支",10,2.5,25,""
363,"20240322006","纳米漂","支",22,2,44,""
364,"20240322006","大头纳米漂","支",8,3,24,""
365,"20240322006","黑坑线组","付",15,5,75,""
366,"20240322006","巨烽袖无刺","板",4,5.8,23.2,""
367,"20240322006","手绑金海夕","板",4,11.5,46,""
368,"20240322006","配节","支",1,30,30,""
369,"20240322006","今晚吃鱼","包",3,7,21,""
370,"20240322006","天元浮钓鲢","包",4,14.5,58,""
371,"20240322006","邓刚浮钓链","包",2,14.5,29,""
372,"20240322006","锐鹰子线钩","包",10,2.7,27,""
373,"20240323002","浮底抽心","包",5,19,95,""
374,"20240323002","全能腥","个",5,8,40,""
375,"20240324004","浮底抽心","包",5,19,95,""
376,"20240324004","全能腥","包",5,8,40,""
377,"20240401002","野战蓝鲫","包",0,6.2,0,""
378,"20240401002","虾饵","包",40,2.4,96,""
379,"20240401002","蓝鲫X5","包",0,8.3,0,""
380,"20240401002","九一八腥版","包",5,6.5,32.5,""
381,"20240401002","九一八香经
典","包",5,7.8,39,""
382,"20240401002","蓝鲫X5","包",5,8.3,41.5,""
383,"20240401002","野战蓝鲫","包",5,6.2,31,""
384,"20240401002","蓝鲫风暴","包",3,6.5,19.5,""
385,"20240401002","金版蓝鲫","包",3,6.5,19.5,""
386,"20240401002","红色风暴","包",3,12,36,""
387,"20240401002","黑坑线组","付",20,5,100,""
388,"20240401002","天元复合拉
丝粉","瓶",5,10.8,54,""
389,"20240401002","拉丝粉","瓶",5,2.8,14,""
390,"20240401002","伙食米","瓶",5,5.6,28,""
391,"20240401002","伙食米","瓶",5,6.8,34,""
392,"20240401002","巨烽双钩","板",15,5.8,87,""
393,"20240401002","手绑新关东","板",4,11.5,46,""
394,"20240401002","鱼护","个",2,9,18,""
395,"20240401002","血防鞋","双",2,28,56,""
396,"20240401002","好槺饼","个",10,9.5,95,""
397,"20240401004","好槺饼","个",10,9.5,95,""
398,"20240401004","蓝鲫X5","包",5,8.3,41.5,""
399,"20240401004","野战蓝鲫","包",5,6.2,31,""
400,"20240401004","蓝鲫风暴","包",3,6.5,19.5,""
401,"20240401004","金版蓝鲫","包",3,6.5,19.5,""
402,"20240401004","虾饵","包",40,2.4,96,""
403,"20240401004","九一八腥版","包",5,6.5,32.5,""
404,"20240401004","九一八香经
典","包",5,7.8,39,""
405,"20240401004","红色风暴","包",3,12,36,""
406,"20240401004","天元复合拉
丝粉","瓶",5,10.8,54,""
407,"20240401004","拉丝粉","瓶",5,2.8,14,""
408,"20240401004","伙食米","瓶",5,5.6,28,""
409,"20240401004","黑坑线组","付",20,5,100,""
410,"20240401004","巨烽双钩","板",15,5.8,87,""
411,"20240401004","手绑新关东","板",4,11.5,46,""
412,"20240401004","鱼护","个",2,9,18,""
413,"20240401004","血防鞋","双",2,28,56,""
414,"20240401004","伙食米","瓶",5,6.8,34,""
415,"20240401004","地狱猫","包",5,6.9,34.5,""
416,"20240403007","蚯蚓","盒",20,2,40,""
417,"20240403007","吴亚","包",3,37,111,""
418,"20240403007","虾网","个",2,3.8,7.6,""
419,"20240403007","粗线网子","个",2,6,12,""
420,"20240409003","7节毫","个",20,5.3,106,""
421,"20240409003","加重虾笼","个",10,22,220,""
422,"20240409003","锐鹰子线钩","包",10,2.7,27,""
423,"20240412001","邓刚浮钓链","包",10,14.5,145,""
424,"20240412001","天元鲢鳙2袋","包",5,10,50,""
425,"20240412001","老鬼黑鲢","包",5,7,35,""
426,"20240412001","赛道","包",1,18,18,""
427,"20240412001","浮底抽心果
味","包",3,37,111,""
428,"20240412001","全能腥 香","包",10,8,80,""
429,"20240412001","地狱猫香","包",3,6.9,20.7,""
430,"20240412001","地狱猫腥","包",2,6.9,13.8,""
431,"20240412001","万能蚯蚓","包",20,2.4,48,""
432,"20240412001","万能神捕","包",20,2.4,48,""
433,"20240412001","密制羊油饼","包",10,4.2,42,""
434,"20240412001","浅水漂","支",30,1.3,39,""
